N,q,split,plane,z_mm,pos_med_um,pos_p95_um,slope_med_mrad,x_med_um,y_med_um,tx_med_mrad,ty_med_mrad
1,1,val,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,val,1,7826.0,173574.98429940257,720728.7084450353,69.48889276694476,173574.98429940257,1416.6898100721141,69.48889276694476,0.7434634596006005
1,1,test,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,test,1,7826.0,171524.1322932768,694265.9185733411,68.12580992578228,171524.1322932768,1280.0534405548801,68.12580992578228,0.6565745821360044
1,2,val,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,val,1,7826.0,4833.093521710424,17763.613241971543,3.9706793822760766,4145.923234164997,713.9453965689881,3.943332361002694,0.10321046161032577
1,2,test,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,test,1,7826.0,4767.940404871127,15448.79439631279,4.121726849533464,4049.844883036869,642.1472925060812,4.065607068853824,0.09318298542108222
1,3,val,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,val,1,7826.0,18121.01361694772,86334.52132086027,4.293391455988949,18121.01361694772,320.8579650305836,4.293391455988949,0.08774493232431568
1,3,test,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,test,1,7826.0,17496.009713703643,76954.716537054,4.055743029985681,17496.009713703643,298.18202342145383,4.055743029985681,0.08196288469990762
1,4,val,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,val,1,7826.0,4946.233027704579,40076.47979362115,1.5281160309333075,4946.233027704579,150.85004547836434,1.527834359388719,0.06409966623845131
1,4,test,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,test,1,7826.0,4642.326611306629,34124.45555902608,1.4460751968634127,4642.326611306629,147.15983570725655,1.4444280476525462,0.060060192713196764
1,5,val,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,val,1,7826.0,471.0333094000134,5490.825730593698,0.2945750803251823,452.5887737920407,110.37761311416716,0.28860146824433164,0.04926620442596841
1,5,test,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,test,1,7826.0,456.41447320812745,4764.182284716607,0.2959086009364613,440.49031804073024,110.39679447341655,0.28650137734392844,0.0490897523526615
1,6,val,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,val,1,7826.0,337.976352295982,5785.589647999412,0.11103143337920507,277.64777685274566,151.09535327120227,0.08626848627361211,0.04849121297075855
1,6,test,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,test,1,7826.0,324.0139473637669,4920.318483920422,0.10856270820591186,259.73005137846883,143.6276088723787,0.08669873322460567,0.046348663635426
1,7,val,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,val,1,7826.0,330.2592790091694,6438.500035582034,0.1338523655152954,258.84416932456134,204.13956536947353,0.10451168846778436,0.07611958172803329
1,7,test,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,test,1,7826.0,326.1960330927707,4568.529071235561,0.12746379728206803,252.82788849343163,199.5447873452889,0.09663039317475697,0.07100751273208562
1,8,val,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,val,1,7826.0,229.98879728660881,3039.0954237235687,0.11295742574227857,177.75094610189512,112.64253523819434,0.09362228607526224,0.054991640522832584
1,8,test,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,test,1,7826.0,225.63428206032654,2988.328883129086,0.10970167091164246,168.81998995279446,116.40151025541812,0.08897179051849113,0.046085926046464734
1,9,val,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,val,1,7826.0,225.5541188590655,2838.8397410676967,0.11027173460691903,170.81526589845453,130.63180860854118,0.08302460070741535,0.0549384007859019
