network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
w100_data_s0,data,0,100,4,True,val,0,4551,229.84362747157405,2680.0963618139167,0.10819022872693429,55.0
w100_data_s0,data,0,100,4,True,val,1,4551,656.4871065892852,8436.325763268957,0.29874115826539205,373.71799999999996
w100_data_s0,data,0,100,4,True,val,2,4551,1024.789767419378,14856.34988362962,0.47962436001967174,821.8929999999991
w100_data_s0,data,0,100,4,True,val,3,4551,1563.424608096696,22021.85557649372,0.704548003976152,2099.987
w100_data_s0,data,0,100,4,True,val,4,2932,3054.6621440478816,45782.31660970491,1.167989008323954,6281.1775
w100_data_s0,data,0,100,4,True,val,5,1524,5082.670232522809,67924.9767276463,2.0489238446443765,7759.312
w100_data_s0,data,0,100,4,True,val,6,856,5381.61024540324,68678.19981820419,2.2614986504743984,8181.928
w100_data_s0,data,0,100,4,True,test,0,4563,227.30026806964077,2590.512013627422,0.10573160460841668,69.21399999999994
w100_data_s0,data,0,100,4,True,test,1,4563,651.6168727217196,7720.4390648114395,0.28618927399743854,335.087
w100_data_s0,data,0,100,4,True,test,2,4563,1051.0904071033488,14136.67989994359,0.4564743157637746,752.393
w100_data_s0,data,0,100,4,True,test,3,4563,1483.7908114013344,20134.70584673069,0.695569761311271,1994.9869999999999
w100_data_s0,data,0,100,4,True,test,4,2914,2868.6573544138837,43132.27582560395,1.1446256878011318,6269.4015
w100_data_s0,data,0,100,4,True,test,5,1481,4819.579011709493,91650.48112122668,1.9986092985581905,7783.540000000001
w100_data_s0,data,0,100,4,True,test,6,853,5160.203033971073,80529.4528785153,2.1377593865555404,8330.801
w100_data_s1,data,1,100,4,True,val,0,4551,221.11539810169134,2999.5236969838857,0.07985741558161341,55.0
w100_data_s1,data,1,100,4,True,val,1,4551,726.8068921104458,11276.099271733414,0.30037874583196955,373.71799999999996
w100_data_s1,data,1,100,4,True,val,2,4551,1225.350631828377,27753.29813870796,0.5232848764750078,821.8929999999991
w100_data_s1,data,1,100,4,True,val,3,4551,2051.0142497903416,40965.48885988454,0.9549985806205181,2099.987
w100_data_s1,data,1,100,4,True,val,4,2932,4118.949118116575,76244.83318746011,1.6238532959955594,6281.1775
w100_data_s1,data,1,100,4,True,val,5,1524,8691.88922298305,116997.15530773702,2.4275555283476624,7759.312
w100_data_s1,data,1,100,4,True,val,6,856,9934.347781303615,127548.40209822397,2.628269908557005,8181.928
w100_data_s1,data,1,100,4,True,test,0,4563,216.79345685543615,3150.4413836729645,0.08107004162244413,69.21399999999994
w100_data_s1,data,1,100,4,True,test,1,4563,711.6549105407923,10400.26492255074,0.30677475200166504,335.087
