tag,mode,seed,width,depth,restarts,final_loss,converged,wall_s,train_endpoint_med_um,train_endpoint_p95_um,train_stage_med_um,train_slope_med_mrad,train_rho_mean,train_rho_median,train_straight_med_um,train_n,val_endpoint_med_um,val_endpoint_p95_um,val_stage_med_um,val_slope_med_mrad,val_rho_mean,val_rho_median,val_straight_med_um,val_n,test_endpoint_med_um,test_endpoint_p95_um,test_stage_med_um,test_slope_med_mrad,test_rho_mean,test_rho_median,test_straight_med_um,test_n
w100_data_s0,data,0,100,4,154,5.722711697477841e-06,True,5825.4,294.1716846453879,2687.0520639742376,450.64835911333034,0.13206284196101703,0.012383134900865988,1.062540314005447e-05,15.41536337163052,7935,315.5524619463108,4779.723572145039,466.7204449047233,0.1398179925312902,0.01377428666231343,1.4956021427126092e-05,17.28391489552905,3969,320.55774502496706,4780.843271241565,472.25446944409356,0.14249809269761826,0.012249294516265516,1.3929206495672553e-05,16.11289863009624,3961
w100_data_s1,data,1,100,4,133,7.260368165462107e-06,True,4943.9,334.52363759332115,3064.935580312861,544.1062361022375,0.13496933003162223,0.014064886127868813,1.2478270337822808e-05,15.41536337163052,7935,348.01431114014747,5661.731306703922,567.1470501448823,0.13988168511613885,0.014462218599553711,1.564379586198852e-05,17.28391489552905,3969,338.47731474480725,5080.857002152726,561.9693841284175,0.14099951586876713,0.013910042367898107,1.4722150977642366e-05,16.11289863009624,3961
w100_data_s2,data,2,100,4,154,5.1406581408633976e-06,True,5678.2,227.1343973734954,2593.1924070760238,448.41677614567743,0.17170040936720365,0.00833761656119643,8.556430745761671e-06,15.41536337163052,7935,245.91763866103202,4901.226644014879,484.0243851735977,0.17515920759153536,0.009972670109382447,1.213466838525615e-05,17.28391489552905,3969,248.32220585798837,4586.206612093065,482.25338880565795,0.17842555188157805,0.010767353937547963,1.0753243757759678e-05,16.11289863009624,3961
w100_physics_s0,physics,0,100,4,121,1.8072437716316872e-05,True,3662.7,325.52203213681355,6818.681511731956,561.2963428106781,0.18934474364842163,0.011966682376043645,3.070913578176844e-05,15.41536337163052,7935,351.80645524816237,10691.602684610005,616.5255297689214,0.20303470053648076,0.013268609042427878,3.3737456972028854e-05,17.28391489552905,3969,342.1397773986712,9770.00728713756,627.1889970455238,0.20389152571682717,0.01229763927616182,3.295083489220588e-05,16.11289863009624,3961
w100_physics_s1,physics,1,100,4,96,2.3121837879707247e-05,True,2563.9,316.8169432841572,7884.102052331398,643.2640449316125,0.19079595689475148,0.010610708834211374,2.5377912946555177e-05,15.41536337163052,7935,338.6893948707268,11710.601952143856,681.6928475836903,0.19956800598350255,0.012151793609894579,2.898690404025802e-05,17.28391489552905,3969,349.867154105424,11131.59998660979,680.9424259715797,0.20839696244799588,0.012498321718710547,2.784781269400807e-05,16.11289863009624,3961
w100_physics_s2,physics,2,100,4,99,2.376909376674545e-05,True,4738.4,386.8076692827458,7528.871135684531,648.2348729837142,0.1988377540699804,0.013401029400158134,2.7545064674497167e-05,15.41536337163052,7935,389.95248591685794,11513.26446555816,694.7244847923457,0.2140854002993381,0.013485113602668207,3.2566237959473475e-05,17.28391489552905,3969,411.361370459872,10452.20193357411,688.0151125424163,0.21445366857372056,0.013982635325939482,3.160222983094671e-05,16.11289863009624,3961
w100_physics_s3,physics,3,100,4,94,2.9352543607771237e-05,True,4380.1,407.8680159324506,8532.59680526937,815.7189468469275,0.19721561467504928,0.02095963431535307,4.059681801263614e-05,15.41536337163052,7935,431.78472918595645,12585.034849446174,840.4545712087365,0.22028728494730837,0.020304142418440883,4.294690152193964e-05,17.28391489552905,3969,426.6424474208943,11581.812187769174,857.0339409383223,0.21218241007361915,0.01995608335447452,4.161453638773037e-05,16.11289863009624,3961
w100_physics_s4,physics,4,100,4,102,2.7754773342545447e-05,True,2746.1,392.0708267954751,7810.0665264356985,646.6125591489487,0.21128826751615204,0.012059159246212103,3.402723668005325e-05,15.41536337163052,7935,413.01221634856586,11606.681849748198,688.5002108513802,0.22114586616042708,0.013335808786798693,3.461914295276175e-05,17.28391489552905,3969,421.629248549408,10797.424718540355,694.8766391890962,0.22777631878440063,0.014645971396060718,3.4608277931885654e-05,16.11289863009624,3961
w100_physics_s5,physics,5,100,4,97,2.414213214564339e-05,True,2581.7,351.1154047463023,8104.486890350074,660.6686293368753,0.23476133914894504,0.01416722874791629,3.4059409960896075e-05,15.41536337163052,7935,373.125351716169,11864.076768004634,675.4737749962487,0.24537789792482279,0.01333688615548186,3.778287023617983e-05,17.28391489552905,3969,365.15403454927764,10802.45618293202,686.7145718476335,0.24590778369552868,0.014590712096099216,3.523429180472983e-05,16.11289863009624,3961
w100_physics_s6,physics,6,100,4,95,2.6336586251391867e-05,True,2653.5,382.88871151303283,7757.821218397052,684.1659849477896,0.2512171420006545,0.014797755422475085,4.0861226809134266e-05,15.41536337163052,7935,391.9573599051205,11200.020621784517,726.321511318929,0.2586836742373283,0.013489290395535947,4.577743203476519e-05,17.28391489552905,3969,381.7415754066005,10301.173011151433,725.711185543048,0.26615517216235784,0.016006968066251598,4.021400179857036e-05,16.11289863009624,3961
w100_physics_s7,physics,7,100,4,89,2.804392932426217e-05,True,4080.8,417.6747809056129,7611.668180307587,782.1289766675,0.24918324420679372,0.016252869101428077,3.559404447018068e-05,15.41536337163052,7935,426.98545990685943,10672.51709146615,814.3458529186773,0.25769060684652234,0.015956754553069583,4.1241326871628696e-05,17.28391489552905,3969,438.07541708147824,10280.253883803198,829.0112812005752,0.2664403655377734,0.0159898638041982,3.9889171710718564e-05,16.11289863009624,3961
